erd1qqqqqqqqqqqqqpgq02v40q6tfa5925nwhxldc7xu43r0wgfz0n4syapk9d: ['FIRST-f56bf0', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq086zhh5dknlpyjajd5z6nucvjgte476y0n4sz9952a: ['REDEEM-802abe', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq0e9pmlzr0nk5nkulzcmessttsjkzr4xf0n4sue4r8e: ['ASH-e3d1b7', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq0ee5ch2e4l33t9kxu9qhvqknuus3yh3j0n4sj2qhwj: ['TESTT-b75344', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq205dg9t5wnczfh7uxyxe5kudk6ez4e3y0n4su5t6gc: ['USDT-58d5d0', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq2200pg7ll70p5near5uf693h6ssac8de0n4sg69uaq: ['RND005-e3a4e6', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq248keey2dvqvy49qwtmza55267d6tss80n4s6vqyfk: ['DEMO004-ed7999', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq25434ep90257aatp4cchav3u9pcu4yh50n4skr6pvw: ['HLT-a1f07e', 'MEX-a659d0']
erd1qqqqqqqqqqqqqpgq25duemq843hyalwelnd7vlgetljug0640n4sxfeg50: ['NORK-350d63', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq25qlxgfmwsn94hsu5cwn9klfq8nknjzt0n4svyp4gm: ['01IAN-81a38c', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq2f4kxv7pydxj2u9fmmfaqm66nj9pn5ur0n4sm7qlaf: ['TOKEN3-c3eeb0', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq2kd9e343cnz57myac938gedd9x926cap0n4stssnh5: ['GHGH-e7b911', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq2smvj4hpgya2paqa2cmru5t54j09lw6r0n4synhk7a: ['TSLA-1424ca', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq2uel4eayrkzjg3cwh0r056aj9xd84v4m0n4s737fhz: ['SETT3-151a48', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq2uxpprk08dn6523s0cre2v86h9cd57vf0n4ss7r54t: ['USH-dda7c6', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq35q3vxu0ghehmadrv32u5a3l8p50f8zj0n4ss05czl: ['JKL-aaf714', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq3hsjrvnnw2l8ujdx3vn0ft5hx6dun2um0n4s3qx2nu: ['ANDRSUCKS-cc79ef', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq3q25xktlmudq99urd4et3dntme8vtgvv0n4sc42nc6: ['ANIX-4b0fcc', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq43au2nqrfhext78e7evrx4waqch74dg00n4sz7e5n2: ['TTL-a53f2a', 'USDC-350c4e']
erd1qqqqqqqqqqqqqpgq4wp3jtgr9mjuhdusphfzx5n5wxzhyqry0n4skqkq8h: ['CAR-6cee82', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq4zafu6rzdw7fj07hjh5tkm68jsaj7hl60n4s8py4ra: ['UTK-14d57d', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq575qaqlnnh40qjymllj6jekfxp4m0lpg0n4s6hdfdp: ['CRSX-0045b0', 'USDC-350c4e']
erd1qqqqqqqqqqqqqpgq57pp5hfddq2xzkdl0shk6ecrm40l0rxn0n4sldn9wk: ['03IAN-b588bf', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq5kgt9z3xs4zgv39vlp0km5mwufyweaas0n4s7fxr9g: ['TUSDC1-8c6b66', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq5rznqr45fa6wwt2czpl0y99rgt4048qw0n4sq3y0a9: ['MOON-a8cf55', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq5umzngs756zgfqtc76470ez4jvct59cd0n4sku7nmd: ['PROTEO-6ca7c8', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq63uxq6ha6lfrv0rn6rwu3vq5zxr4l7uy0n4sc2k6w4: ['MOT-e1016c', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq65d4g5xlck4szyf97pcvcvgp3snle3qk0n4smug0nh: ['WUDEMO-05ca48', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq67vdcu9az7w4vf7kgv333n2h9zeve4ex0n4sle7unm: ['NOT-78d4e2', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq6acfuhdscqg6t7zacegsfqf0x70sdpu50n4sjedpyq: ['OLD-b0e9d9', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq6np64l7gt0x7sk2t4jdfdf32ywmfxtt00n4sjjkw7u: ['TST-1d4bff', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq6pu6uvtlwt6cqznpefkkh4wzyqcvle4t0n4s9vwer6: ['SVX-cc81e1', 'USDC-350c4e']
erd1qqqqqqqqqqqqqpgq75d9l5uuddpwc6kuadgxe0dr7a67kht00n4sdadhwr: ['BUBU-82c3d9', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq7gamh97zvlfj4fcf4x2m523gxwyznklx0n4sw8rpps: ['DEMO002-aeb18b', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq7hc8l78qasm56xac5jvzuskrqmyw98dy0n4ssj9g24: ['XTR-908ad0', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq7q6wttjxa8w6kxjp9ln03m9f3qwykz7w0n4sh9ujvh: ['02IAN-7369c0', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq7se6dwgrd5nez4fvlzwlepjqeh5z9m3f0n4s03exps: ['OPT-94923d', 'USDC-350c4e']
erd1qqqqqqqqqqqqqpgq7wdhmpp379vglp4k6tnehzlrvfnz7xd50n4smwwke4: ['D24-649988', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq7yj6ww700rt7gv8uqn3uphlcmwpa4rdx0n4sslfugn: ['KWAK-b81409', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq7yjnc8h25kh0egcp8zqycfwvvcejgnyy0n4s7t344y: ['TRYME-03ed95', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq7zd6d5w56hfxusfqr57j7hkchh6g7jzr0n4sxkkpwh: ['CEGLD-b22b50', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgq82ycpsyr09hfu4k023484rpls5d2pge50n4sxzaun5: ['WEGLD-a28c59', 'MRSTKN-ef09ce']
erd1qqqqqqqqqqqqqpgq85q4rwr0lpkqydxuurw9gfa3w3ercjmg0n4s33008w: ['LUD03-ca2d6a', 'WEGLD-a28c59']
